
a	 : 2
"megbizhato"	 : 1
"megdolgozasa"	 : 1
"megegyezesek"vannak	 : 1
"megelhetesi	 : 1
"megelhetesi"-bunozesicelpont	 : 1
"megelozo	 : 1
"megerti",	 : 2
"megfazasat"	 : 2
"megfazott".	 : 2
"megfeleles"	 : 1
"megfelelo"	 : 1
"megfelelo"-re???	 : 1
"megfelelo"?	 : 1
"meggymagos	 : 1
"meghatarozott	 : 1
"megkesett	 : 1
"megmagyarazzak	 : 1
"megmerettetett,	 : 1
"megoldottak"	 : 1
"megorzese"	 : 1
"megroni"	 : 1
"megszavaznak"	 : 1
"megszoritasok"	 : 2
"megtagadta	 : 1
"megtett	 : 1
"megtisztelik"	 : 1
"megvizsgaljak".	 : 1
"megvizsgaltam".	 : 1
"mein	 : 2
"mellenyzsebbol"	 : 1
"mellesleg"	 : 1
"meltosagba"folcsinalt	 : 1
"mending	 : 2
"mentsege"	 : 1
"merlegnyelv"	 : 1
"mertekado",	 : 1
"merteket	 : 1
"messzirol	 : 1
"method".	 : 1
"metodo	 : 1
"mi	 : 6
"mi"?	 : 1
"micsoda	 : 1
"middle	 : 1
"middletown"	 : 1
"mile"	 : 1
"military	 : 1
"minden	 : 4
"mindenki	 : 1
"mindez	 : 1
"mindket	 : 1
"mini-konjunkturat"	 : 1
"mini-nukes"	 : 1
"miniszter	 : 1
"miniszterelnoknek"	 : 1
"miniszteriumok"	 : 1
"minosegtol"	 : 1
"mintha	 : 1
"miok	 : 1
"mirror	 : 1
"mit	 : 3
"mivel	 : 1
"moby	 : 1
"mocskos	 : 1
"moderate	 : 1
"modernizaciot".	 : 1
"mondja"*	 : 1
"montessori	 : 1
"moral	 : 1
"moralis"	 : 1
"more	 : 4
"mosaic"-otfejlesztette	 : 1
"most	 : 8
"mother	 : 2
"motors	 : 2
"moving	 : 2
"mukodotoke"	 : 1
"munkafolyamatok	 : 1
"munkalkodnak"	 : 1
"must	 : 2
"mutiny"	 : 1
"mutually	 : 1
"muvelt	 : 1
"muveszeti	 : 1
"na	 : 5
"na,	 : 2
"nacionalista"	 : 1
"nacionalizmusnak":	 : 1
"nagy	 : 6
"nagyobb	 : 1
"nagyobb"	 : 1
"nagyon	 : 1
"nagyosszevisszasag"	 : 1
"nagystilu	 : 1
"nagystrategiai	 : 1
"naive"	 : 1
"naked	 : 2
"narrative	 : 1
"narrowly	 : 1
"national-	 : 1
"nato	 : 2
"nato-abrand"	 : 1
"natural"	 : 1
"ne	 : 1
"near	 : 1
"nebantsviragok"	 : 1
"necessary	 : 1
"negativ	 : 1
"negativkamatozasu"	 : 1
"neither	 : 1
"nem	 : 31
"nemetbaratnak"	 : 1
"nemetnacizmus"	 : 1
"nemhogyerkolcsi	 : 1
"nemi	 : 1
"nemzet"	 : 5
"nemzet"-hez.	 : 1
"nemzeti	 : 4
"nemzeti"	 : 1
"nemzetinek"	 : 1
"nemzetisegi",	 : 1
"nemzetiszinhaz"	 : 1
"nemzetkozi	 : 2
"nemzetrombolo	 : 1
"nepidemokracia"	 : 1
"nepidemokratak"	 : 1
"nepszeru"	 : 1
"nepszerusegu"	 : 1
"netscape	 : 3
"never"	 : 1
"nevertekben"	 : 1
"neveto	 : 1
"new	 : 9
"new"	 : 1
"next,	 : 1
"nezz	 : 1
"night	 : 1
"nightmare	 : 1
"nincs	 : 4
"nine	 : 1
"nivo-dijjal".	 : 1
"nivodij"	 : 1
"no	 : 5
"no".	 : 1
"no-one	 : 1
"noha	 : 2
"nomail";	 : 1
"non-person"	 : 1
"nopost"	 : 1
"normal"	 : 2
"normal,	 : 1
"normally,	 : 1
"nos,	 : 1
"not	 : 10
"not,	 : 1
"notes	 : 1
"nothing	 : 1
"novekedes	 : 1
"now	 : 3
"nuclear	 : 2
"nun's	 : 1
"nurnbergi"	 : 1
"nyet"	 : 2
"nyogvenyalas".	 : 1
"nyogvenyelos"polgari	 : 1
"nyomozohivatalara",	 : 1
"nyugat"	 : 1
"nyugatnemetek"egymasra	 : 1
"nyugdijintezet"	 : 1
"nyugdijkerdest"	 : 1
"o	 : 1
"oath"	 : 1
"ode	 : 3
"odes"	 : 1
"oedipus	 : 1
"of	 : 1
"offending	 : 1
"offenses	 : 1
"offer	 : 1
"official"	 : 1
"okos",	 : 1
"okumenikus	 : 2
"old	 : 1
"olvadt	 : 1
"olyen	 : 1
"on	 : 7
"once	 : 2
"one	 : 6
"one-	 : 1
"onellenorzes],	 : 1
"ongyilkossagot"	 : 1
"onkentes	 : 2
"onkentes"	 : 1
"open	 : 4
"openly	 : 1
"opera	 : 1
"or	 : 2
"oreg"	 : 1
"oriasi",	 : 1
"originates	 : 1
"orok	 : 1
"orommel	 : 1
"orosz	 : 1
"orszag	 : 1
"osszeferhetetlen"	 : 1
"osszetevesztik"	 : 1
"osszeveritekezett"	 : 1
"osszevont"iskolak	 : 1
"oszdd	 : 1
"osztozkodasi"	 : 1
"othello"	 : 1
"othello"**	 : 3
"othello".	 : 1
"other	 : 1
"otthonbol",	 : 2
"otvenhatos	 : 1
"ought"	 : 1
"our	 : 6
"out	 : 1
"out"	 : 1
"out",	 : 1
"outsiders."	 : 1
"over,"	 : 1
"overwhelming	 : 1
"owns"	 : 1
"packaging".	 : 1
"paradise	 : 4
"parancsnokot",	 : 1
"parbeszedet	 : 1
"parents	 : 2
"parizsi	 : 3
"parlamenti"	 : 1
"parliamentary	 : 3
"partegyesules"	 : 1
"participants	 : 1
"participated	 : 1
"partnerseg	 : 1
"partnership"	 : 1
"partnert"	 : 1
"partszakadas"	 : 1
"partszakadasok"-nak,	 : 1
"parzival"	 : 1
"passing	 : 1
"pata	 : 1
"patently	 : 12
"patkany,	 : 1
"patyomkin-demokracia"	 : 1
"patyomkin-demokrataknak"	 : 1
"peace	 : 1
"penzugyi	 : 2
"penzunio"???	 : 1
"people	 : 1
"people's	 : 1
"perestroika"	 : 1
"performance	 : 1
"permanens	 : 1
"permanent	 : 1
"persist"--that	 : 1
"persona	 : 1
"personally"	 : 1
"persze	 : 1
"persze,	 : 1
"petro-dollar"	 : 1
"phaedo"	 : 1
"phaedo"**	 : 1
"phagocyztization"	 : 1
"philebus"**	 : 1
"piac,	 : 1
"piaci	 : 1
"pimenov	 : 1
"plan	 : 1
"platform	 : 1
"plowing	 : 1
"plugged"	 : 1
"pokolvarnak",	 : 1
"pol	 : 3
"polgari	 : 1
"policy	 : 1
"political	 : 6
"politics"	 : 1
"politikai	 : 3
"politikaipletykalkodasnak"	 : 1
"pongratz	 : 1
"popular	 : 1
"pornografiaellenesseg"	 : 1
"pornographers"	 : 1
"pornographers,"	 : 1
"pornographic"	 : 1
"pornography,"	 : 1
"portrait	 : 2
"positive	 : 1
"positive."	 : 1
"power	 : 3
"pozitiv	 : 1
"practical,"	 : 2
"preambulum"	 : 1
"prefektusi	 : 1
"preferalva,	 : 2
"president	 : 1
"pride	 : 3
"prime	 : 1
"prince".	 : 1
"prison"	 : 1
"privat	 : 1
"privatizacio	 : 1
"privatizalas"hive,	 : 1
"problems	 : 1
"profession",	 : 1
"professzionalis	 : 1
"professzionalizmusanak"	 : 1
"profikkal"	 : 1
"profound	 : 1
"program"	 : 1
"project	 : 1
"projecting	 : 1
"proletar	 : 1
"promotion"	 : 2
"propaganda	 : 1
"protection	 : 1
"provides	 : 2
"provocations"	 : 1
"prufrock,"	 : 1
"public	 : 1
"pul=	 : 1
"pure	 : 1
"pushing,"	 : 1
"puskaporos	 : 2
"quarantin[e]	 : 1
"ra	 : 2
"rabbit,	 : 1
"rablobankvilagot"?ezt	 : 1
"racketeering	 : 1
"radical	 : 1
"rafazott",	 : 2
"ragyogo	 : 1
"rasszizmus"	 : 1
"raszorultsagi	 : 1
"raverni	 : 1
"ravings."	 : 1
"realistic"	 : 1
"realitasok	 : 1
"reassuring,"	 : 1
"recommended	 : 1
"reconfigured	 : 1
"red	 : 2
"refinacion	 : 1
"regardless	 : 1
"reinforce	 : 1
"reiterate"	 : 1
"rekedtseget".	 : 2
"relationship	 : 1
"remeljuk,	 : 1
"remenybeli	 : 1
"remenyenek,	 : 1
"remenykedik"	 : 1
"rendezni"	 : 1
"rendszeresen?"	 : 1
"rendszert"bankok	 : 1
"rendszervaltasnal"	 : 1
"rendszervaltozas"	 : 3
"rendszervaltoztato"	 : 1
"republic"	 : 5
"republic"**	 : 2
"require[]	 : 1
"reserve"	 : 1
"reserved	 : 1
"resultados	 : 4
"reszben	 : 2
"reszlegesen	 : 1
"reszortfelelose"	 : 1
"retrieval'	 : 1
"reverse	 : 1
"review-by-owner",	 : 1
"revizionista"	 : 1
"revolutions"	 : 1
"right	 : 2
"right",	 : 1
"risk	 : 1
"road"	 : 1
"rogue"	 : 1
"rollout	 : 1
"roma	 : 1
"roma",	 : 1
"roman	 : 1
"romanellenes	 : 1
"romansaga"	 : 1
"romantic	 : 1
"romlasnak	 : 1
"roots"	 : 1
"rozsadombi	 : 2
"rudolf	 : 1
"running	 : 1
"russia	 : 3
"russia"	 : 1
"russia's	 : 2
"s	 : 1
"safe	 : 1
"safe"	 : 1
"saga	 : 1
"sailing	 : 1
"saint	 : 1
"sajat	 : 1
"sajatos	 : 2
"sajnalom,	 : 1
"santa	 : 1
"scale"	 : 1
"scandal"	 : 1
"scheme	 : 1
"school	 : 1
"science	 : 1
"scorched	 : 1
"search	 : 1
"second,	 : 1
"secret	 : 1
"sections	 : 1
"security	 : 2
"sehonnai	 : 1
"sem	 : 1
"semmi	 : 2
"semmibe	 : 1
"semmilyen	 : 1
"semmit	 : 1
"sending	 : 1
"separatist	 : 1
"serious."	 : 1
"seven	 : 1
"severe	 : 1
"share	 : 1
"shocking."	 : 1
"should	 : 3
"shut	 : 1
"sick	 : 2
"sick"	 : 2
"signifi-cant	 : 1
"significantly	 : 1
"siker"	 : 1
"sikerpropaganda"]	 : 1
"sikerpropagandat"][huszonketezer	 : 1
"sikertortenet",	 : 1
"similar	 : 1
"simply	 : 1
"sir	 : 1
"situations	 : 1
"sladek	 : 1
"slaughterhouse	 : 1
"slick	 : 1
"slightly	 : 1
"slow	 : 1
"snake"	 : 1
"snake"**	 : 1
"snapshot"	 : 1
"sneak	 : 1
"soap	 : 1
"socios	 : 1
"software	 : 1
"sok	 : 1
"sokmillio	 : 1
"sold	 : 1
"some	 : 3
"something	 : 1
"sonny's	 : 2
"sons	 : 1
"soprogeto-katonakat".	 : 1
"soul	 : 2
"sovereigntyand	 : 1
"specific	 : 1
"spin	 : 1
"spin-felcserjei"?	 : 1
"spin-felcserseget"	 : 1
"spin-felcsersegrol"	 : 1
"spiritual	 : 2
"spongers"	 : 1
"spring	 : 1
"stability,"	 : 1
"stabilizacio"	 : 2
"stabilizaciohoz",	 : 1
"stabilizacionak"	 : 1
"stabilnak	 : 1
"stamps"	 : 1
"stars	 : 2
"start	 : 1
"state	 : 2
"stereotype	 : 2
"stewardship"	 : 1
"still	 : 1
"sting"	 : 1
"stop"	 : 1
"stop".	 : 2
"stopped	 : 1
"story"-t	 : 1
"strategia"	 : 1
"strategiajat".	 : 1
"strict	 : 1
"stuck"	 : 1
"subject	 : 2
"subscribe	 : 1
"subsidiaria")	 : 1
"suket	 : 1
"sulyadorol",	 : 1
"sulyos"	 : 1
"summer	 : 1
"supply-side"	 : 1
"surpassed	 : 1
"swing	 : 2
"switch	 : 1
"symbol	 : 1
"symposium"	 : 2
"szabad	 : 4
"szabad"	 : 1
"szabadsagharc"nevet	 : 1
"szabadsagharcunk	 : 1
"szabo	 : 2
"szajtepo	 : 1
"szakember"	 : 1
"szakertelem"	 : 1
"szakertelemre"	 : 1
"szakerto	 : 2
"szakerto")	 : 1
"szakertoitol",	 : 1
"szakertok"	 : 1
"szakmai	 : 2
"szakmai"	 : 1
"szalmonella"	 : 1
"szalmonella"-fertozes	 : 1
"szamunkra	 : 1
"szazmillio	 : 1
"szdsz	 : 1
"szegenyek	 : 1
"szekszualis	 : 1
"szelesiteni	 : 1
"szelsojobboldali	 : 1
"szelsoseges"	 : 1
"szelsosegesseg"-nek.	 : 1
"szemelyes	 : 1
"szentsegit"	 : 1
"szeptemberben	 : 2
"szerb	 : 1
"szerencses	 : 1
"szeretne".	 : 1
"szerzodes",	 : 1
"szerzodes"-ben.	 : 1
"szetverni	 : 1
"sziberia-metodust"	 : 1
"sziberiai	 : 1
"szignifikans"	 : 1
"szigoruan	 : 1
"szilikonvolgy"	 : 1
"szinte",	 : 1
"szivaros"	 : 1
"szivessegbol"	 : 1
"szlovakellenes	 : 1
"szlovakia	 : 1
"szocialis	 : 1
"szocialisan	 : 3
"szocialista	 : 1
"szokas"	 : 1
"szoktatjak"	 : 1
"szolid	 : 1
"szopjal,mami"	 : 1
"szorakozasbol"	 : 2
"szorgalmaztam,	 : 1
"szorri	 : 1
"szovjet"][walensa	 : 1
"sztarolnak"	 : 1
"szubjektive"	 : 1
"szukseges"?	 : 1
"szuletett	 : 1
"tagging"	 : 1
"tajekoztatasnak",	 : 1
"tajekoztatasok"	 : 1
"tajekoztatjak"?	 : 1
"talalunk	 : 1
"talan	 : 1
"talk	 : 2
"talking	 : 1
"tamburlaine	 : 1
"tamogatast	 : 1
"tamogatjak	 : 1
"tamogatjak"	 : 1
"tamogatjak",	 : 1
"tamogatjak"?	 : 1
"tamogatni	 : 1
"targyalunk"]	 : 2
"targyszeruen"	 : 2
"tarsadalmi	 : 1
"tarsadalomtudosnak"	 : 1
"tarthato	 : 1
"tartozkodas"	 : 1
"tavkozlesi	 : 1
"taxisblokad"	 : 1
"te	 : 1
"teasers"	 : 1
"technical	 : 1
"technikai	 : 1
"technology	 : 3
"teljes	 : 2
"teljesites".	 : 1
"tend	 : 3
"termese".	 : 1
"terminated"	 : 1
"terrorellenes"	 : 1
"teruleti	 : 1
"teruletrendezest!"	 : 1
"tervezett",amelyet	 : 1
"tevelyges",helyreallna	 : 1
"tevesztenie"	 : 1
"that	 : 1
"that's	 : 1
"the	 : 180
"theory	 : 1
"there	 : 6
"there's	 : 1
"these	 : 2
"they	 : 10
"thieves."	 : 1
"third	 : 2
"this	 : 6
"those	 : 2
"threat	 : 1
"threat"	 : 1
"tiborc	 : 2
"tied	 : 1
"tigers"	 : 1
"tight	 : 1
"tight"	 : 1
"tightness"	 : 1
"tiltott"	 : 1
"tisztazo	 : 1
"tisztazza"	 : 1
"tiszteletbeli	 : 4
"tiszteletben	 : 3
"tisztessegminiszterium"	 : 1
"tisztogatas"	 : 1
"titkos	 : 1
"to	 : 8
"tobb	 : 2
"tobbfele	 : 1
"tobbsegi"	 : 2
"today's	 : 1
"today,	 : 1
"tokebefektetesek	 : 1
"tom	 : 1
"too	 : 1
"tooscared"	 : 1
"torgyan	 : 2
"torgyani"	 : 1
"tortenelem"	 : 1
"tortenelmi	 : 1
"tortenelmi"	 : 1
"tortenesz-	 : 1
"tortent	 : 1
"torvenyek"	 : 1
"torvenyuk"es	 : 1
"total	 : 1
"tractatus-logico	 : 1
"trade-off"	 : 1
"traitor."	 : 1
"transferals"	 : 1
"transmitter"	 : 1
"travel	 : 2
"treasury	 : 1
"treatise	 : 1
"treatment	 : 2
"treaty	 : 1
"tree"	 : 1
"tremendous	 : 1
"trianon	 : 4
"triumph	 : 1
"trivial"	 : 1
"trust	 : 1
"tudtak	 : 1
"tudtukkal	 : 1
"tukor"	 : 1
"tukorlapjanak"	 : 1
"tukroket"	 : 1
"tul	 : 2
"tulgyozte	 : 1
"tullihegtek"	 : 1
"tulsagosan	 : 1
"tulzo"	 : 1
"tulzott	 : 1
"tune-up"	 : 1
"tuner"	 : 1
"turkey	 : 1
"twelfth	 : 1
"two-way	 : 2
"u.s.	 : 2
"udvariassag"	 : 2
"ugrott	 : 1
"ugy	 : 3
"ugy"	 : 1
"ugyanakkor	 : 1
"ugyanazon	 : 1
"ugyben	 : 1
"ugydonto	 : 1
"ugynok"jelzo.	 : 1
"ugynok"jelzot,	 : 1
"uj	 : 4
"ujbol	 : 1
"ujja-	 : 1
"ujraegyesites"	 : 1
"ujsagiras"	 : 5
"ujsagirasnak"	 : 1
"ujsagiro"	 : 1
"ulysses"**	 : 2
"ulysses",	 : 2
"ulysses"-how	 : 2
"una	 : 1
"unclear,"	 : 1
"undignified."	 : 1
"unfortunately,in	 : 1
"unilateral"	 : 1
"unless	 : 1
"unnepelnunk"	 : 1
"unobtrusive"	 : 1
"unsatisfactory,"	 : 1
"unsuitable."	 : 1
"up",	 : 1
"ur",	 : 1
"urgent"	 : 1
"uri	 : 1
"used	 : 1
"users	 : 2
"usually"	 : 1
"uszik	 : 1
"uszkos	 : 1
"utanam	 : 2
"utanzas	 : 1
"utolagos	 : 1
"utolso	 : 1
"utszelies	 : 1
"v-	 : 1
"vadim,"	 : 1
"vadkapitalizmus"	 : 1
"vagy	 : 1
"vagy-vagy"	 : 1
"vagy-vagy"-kent	 : 2
"vagyonorzese"	 : 1
"vak	 : 3
"vak",	 : 1
"vallasi"	 : 1
"valojaban	 : 3
"van	 : 1
"van-e	 : 1
"vannakennel	 : 1
"varandossag"	 : 1
"vasaroljak	 : 1
"vedekezese"	 : 1
"vedekezett:	 : 1
"vegre	 : 1
"velhetoen	 : 1
"verbally	 : 1
"verseny	 : 1
"versenyt	 : 1
"very	 : 3
"vesszen	 : 1
"vesz!	 : 1
"veszelyben	 : 1
"veszelyes"	 : 1
"veszkorszaktagadasanak"]	 : 1
"vesztesekkel	 : 1
"vette	 : 1
"vietnamese,	 : 1
"vihar"-nak	 : 1
"vilagbank"	 : 1
"vilaglapunk"	 : 1
"village"	 : 1
"vim	 : 1
"violated	 : 1
"violation	 : 1
"virtually	 : 1
"vissza	 : 1
"visszaesestol"??]a	 : 1
"visszaforog"	 : 1
"visszarendezodes".	 : 1
"visszatancolas".]	 : 1
"vital	 : 1
"vitamoraljara".ludwig=gyorshir	 : 1
"volunteers"	 : 2
"wah!	 : 1
"war	 : 6
"ward	 : 1
"was	 : 3
"wash"	 : 2
"we	 : 21
"we're	 : 2
"we've	 : 1
"weaver"	 : 1
"weaver"**	 : 1
"wer	 : 1
"what	 : 6
"what's	 : 1
"when	 : 2
"whether	 : 1
"while	 : 1
"whip	 : 1
"white	 : 4
"whitewater"	 : 2
"who	 : 1
"who's	 : 1
"wholly	 : 1
"why	 : 2
"wild	 : 1
"will	 : 4
"winter	 : 1
"with	 : 3
"witness"	 : 1
"women's	 : 1
"world	 : 1
"worldwide	 : 1
"worst	 : 1
"would	 : 4
"wrong"	 : 1
"wuthering"	 : 1
"www	 : 1
"yeah	 : 2
"you	 : 2
"young	 : 2
"zadig".	 : 1
"zarva	 : 1
"zavarni".	 : 1
"zavarokat	 : 1
"zsak	 : 1
"zsakutcas	 : 1
"zsido	 : 4
"zsido"	 : 1
"zsido",	 : 1
"zsido".	 : 1
"zsidoberenc"-segnek	 : 1
"zsidozast"	 : 1
"zsigereibenerzi:	 : 1
#	 : 205
##	 : 412
###	 : 228
####	 : 154
#####	 : 14
######	 : 25
#1	 : 1
#1**	 : 1
#1.)_	 : 1
#1infoservice"all	 : 1
#2	 : 1
#2**	 : 1
#2.	 : 1
#2/	 : 1
#3	 : 3
#3**	 : 1
#3.0	 : 1
#301.	 : 1
#4	 : 2
#4**	 : 1
#41	 : 1
#5**	 : 1
#500	 : 1
#6**	 : 1
#7**	 : 1
$	 : 19
$0,94,	 : 1
$0.00	 : 2
$1	 : 5
$1,000	 : 2
$1,26	 : 1
$1,28	 : 1
$1,33	 : 1
$1,35	 : 1
$1,40	 : 1
$1,43	 : 1
$1,595.	 : 1
$1,89	 : 1
$1,91	 : 1
$1.0	 : 1
$1.00	 : 1
$1.05	 : 1
$1.126	 : 2
$1.189	 : 1
$1.2	 : 2
$1.5	 : 2
$1.8	 : 1
$10	 : 7
$10,000.	 : 1
$10.00	 : 1
$100	 : 1
$100,000	 : 3
$100.-	 : 1
$100million	 : 1
$103	 : 1
$107.40	 : 234
$109	 : 1
$11	 : 3
$11.75	 : 1
$110	 : 1
$113,000.	 : 1
$115.5	 : 1
$116	 : 1
$116.35	 : 154
$117	 : 1
$12	 : 3
$125.30	 : 115
$130	 : 2
$134.25	 : 217
$136	 : 1
$143.20	 : 119
$145.5	 : 1
$147	 : 1
$148,136.	 : 1
$15	 : 2
$15.95	 : 1
$150	 : 5
$150,	 : 1
$150.	 : 1
$151	 : 1
$152.15	 : 67
$153	 : 1
$155,000	 : 1
$158	 : 1
$16)	 : 1
$160)	 : 1
$161.10	 : 42
$167	 : 1
$17	 : 3
$17,35	 : 1
$17.50	 : 1
$17.90	 : 25
$170	 : 1
$170.05	 : 34
$176	 : 1
$177	 : 1
$179.00	 : 126
$179.95	 : 1
$18	 : 1
$18,29	 : 1
$180,5	 : 1
$187.95	 : 43
$189	 : 2
$19	 : 2
$19.95	 : 5
$19.95,	 : 1
$19.95.	 : 1
$193	 : 2
$196.90	 : 22
$1billion	 : 1
$2	 : 4
$2,000.	 : 1
$2.2	 : 1
$2.3	 : 2
$2.5	 : 2
$2.95	 : 1
$20	 : 2
$20,000	 : 1
$200	 : 3
$200.	 : 1
$205.85	 : 24
$21	 : 2
$210	 : 3
$213	 : 1
$214.80	 : 27
$219	 : 1
$22	 : 1
$22.38	 : 1
$22.6	 : 2
$223	 : 1
$223.75	 : 53
$228	 : 1
$229	 : 1
$23.4	 : 1
$231	 : 2
$232.70	 : 12
$24.95	 : 1
$240	 : 2
$241.65	 : 12
$245	 : 4
$247	 : 1
$25	 : 6
$25,000	 : 2
$25,000.	 : 1
$25.00	 : 1
$250	 : 2
$250.60	 : 10
$254,000	 : 1
$259.55	 : 10
$26	 : 1
$26.85	 : 106
$264	 : 1
$268.50	 : 32
$277.45	 : 6
$28.13	 : 1
$286.40	 : 11
$289	 : 1
$295.35	 : 2
$2billion,	 : 1
$3	 : 6
$3,200	 : 1
$3.00	 : 1
$3.35	 : 1
$30	 : 2
$30,	 : 1
$30.63	 : 1
$300	 : 4
$300,000,	 : 1
$304.30	 : 3
$30milliard	 : 2
$31	 : 1
$313	 : 1
$313.25	 : 1
$315	 : 1
$315)	 : 1
$3200	 : 1
$322.20	 : 2
$327	 : 1
$33.50	 : 1
$331.15	 : 3
$333	 : 2
$335	 : 1
$34	 : 5
$340	 : 2
$340.10	 : 2
$349.05	 : 5
$35	 : 4
$35.80	 : 286
$358.00	 : 9
$366.95	 : 2
$367	 : 1
$368	 : 2
$37	 : 2
$38	 : 3
$387	 : 2
$388	 : 1
$391	 : 1
$393.80	 : 2
$396	 : 1
$399.00	 : 1
$4	 : 5
$4,000-unkbol	 : 1
$4,700	 : 1
$4.00	 : 1
$4.5	 : 1
$4.95	 : 1
$40	 : 5
$400	 : 3
$402	 : 2
$402.75	 : 3
$420.65	 : 4
$427	 : 2
$429.60	 : 2
$43.1	 : 1
$43.65	 : 1
$44.75	 : 680
$446	 : 1
$447.50	 : 7
$454	 : 2
$46	 : 2
$46,000	 : 1
$465.40	 : 1
$47	 : 1
$471	 : 2
$474.35	 : 1
$48	 : 1
$480	 : 1
$49	 : 3
$499.00	 : 1
$4;	 : 1
$5	 : 2
$5.1	 : 1
$5.10	 : 1
$5/hr.	 : 1
$50,	 : 1
$50,000.	 : 1
$500,000.	 : 1
$500-per	 : 4
$51,000	 : 1
$510.15	 : 2
$52	 : 1
$53	 : 1
$53.70	 : 808
$545.95	 : 1
$56	 : 1
$562	 : 1
$563.85	 : 1
$570,000.	 : 1
$58	 : 2
$58.88	 : 1
$586	 : 1
$59.99	 : 1
$590.70	 : 1
$599	 : 2
$6	 : 4
$6,300?	 : 1
$6,630.8	 : 1
$6.00	 : 1
$6.3	 : 2
$6.38	 : 1
$6.8	 : 1
$60	 : 1
$605	 : 1
$61	 : 1
$612	 : 2
$62.65	 : 1101
$626.50	 : 2
$64.75	 : 1
$65	 : 1
$667	 : 2
$671.5	 : 2
$680	 : 2
$68uramisten,	 : 1
$7	 : 2
$70	 : 3
$700	 : 1
$71.60	 : 569
$716.00	 : 3
$72	 : 1
$733.90	 : 1
$75,000.	 : 1
$75.00	 : 1
$750	 : 1
$761	 : 2
$77	 : 2
$778.65	 : 1
$79	 : 1
$795.	 : 1
$8	 : 1
$8,400	 : 1
$8.0	 : 1
$8.95	 : 2
$80	 : 3
$80.55	 : 369
$800	 : 2
$81	 : 1
$84	 : 1
$86	 : 1
$89	 : 1
$89.50	 : 647
$894	 : 4
$9	 : 6
$9,200.	 : 1
$9.95	 : 3
$90,000	 : 1
$958	 : 1
$98.45	 : 301
$99	 : 1
$995.	 : 1
%	 : 21
%,	 : 2
%-aban	 : 1
%-agondol	 : 1
%-al	 : 1
%-aszeretne	 : 1
%-at	 : 1
%-ban-valutanem	 : 1
%-kal	 : 1
%-os	 : 8
%-ot	 : 1
%-ot.	 : 1
%-ra	 : 1
%.	 : 1
%.sot,	 : 1
%_**	 : 6
%byte	 : 21
%reqs	 : 23
&	 : 278
&aacutev;o-sok	 : 1
&quotlegislation;,	 : 1
'	 : 4
'"self	 : 1
'20-as	 : 1
'3-point	 : 1
'80-as	 : 3
'83-ban	 : 1
'89	 : 2
'89-es	 : 1
'90-es	 : 3
'90-hez	 : 1
'92	 : 1
'93	 : 2
'93,	 : 1
'93-ban	 : 1
'94-es	 : 1
'95	 : 1
'95"	 : 1
'95-os	 : 1
'96	 : 6
'97	 : 3
'98's	 : 1
'98,	 : 1
'actors'	 : 1
'ah-hah!	 : 1
'ancient	 : 1
'as	 : 1
'back	 : 1
'beat'	 : 1
'big	 : 1
'black	 : 1
'blacks	 : 1
'breaking	 : 1
'bridge'	 : 1
'center	 : 1
'certainty-equivalence,'	 : 1
'certified'.	 : 1
'compulsory'	 : 1
'computer	 : 1
'computing	 : 1
'continuity'	 : 1
'csont	 : 1
'cycle';	 : 1
'detente'	 : 1
'east-west'	 : 1
'eco-adventure'	 : 1
'electronic	 : 1
'em	 : 1
'em,"	 : 1
'encrypt'	 : 1
'encryption'	 : 2
'everybody's	 : 1
'exclusionary	 : 1
'eye'	 : 1
'fixes'	 : 1
'flirting'	 : 1
'foreign	 : 1
'founding	 : 1
'free	 : 1
'fulfill	 : 1
'gatsby"	 : 1
'generally	 : 1
'gentry'.	 : 1
'getting	 : 1
'how	 : 1
'i	 : 1
'i'	 : 2
'i've	 : 1
'invade'	 : 1
'investigate	 : 1
'is	 : 1
'it	 : 2
'it's	 : 1
'judge	 : 1
'key'	 : 1
'koszos	 : 1
'lemon	 : 1
'level	 : 1
'market'	 : 1
'modern	 : 1
'n'	 : 1
'odds	 : 1
'olajvalallkozokka'	 : 1
'old'	 : 1
'patient'	 : 1
'person',	 : 1
'persons	 : 1
'photographs'	 : 1
'pop'	 : 1
'power	 : 1
'public	 : 1
'reaganomics';	 : 1
'regulators,	 : 1
'remembers'	 : 1
'representative'	 : 1
'right'	 : 1
'rock	 : 1
'rocket	 : 1
'romantic'	 : 1
'scare'	 : 1
'selling	 : 2
'sensationalizes'	 : 1
'servers')	 : 1
'setting	 : 1
'space	 : 2
'spin	 : 1
'spirit'	 : 1
'standing',	 : 1
'state',	 : 1
'strong'	 : 1
'stuck'	 : 1
'subscibe	 : 1
'subscription	 : 9
'swine'	 : 1
't	 : 1
'the	 : 5
'there's	 : 1
'tracks')	 : 1
'union,'"	 : 1
'united	 : 1
'utopia'	 : 1
'virtual	 : 1
'visit	 : 1
'we	 : 2
'weak'	 : 1
'weld-schedules'	 : 1
'wire	 : 1
'years	 : 3
'your_real_name''	 : 1
(	 : 14
(!)	 : 5
("alvallalkozo	 : 1
("amoco	 : 1
("amoco")	 : 1
("amoco"),	 : 1
("b.i.r.f.")	 : 1
("cda"	 : 1
("cpc").	 : 1
("derivados").	 : 1
("downstream")	 : 1
("ee.uu."),	 : 2
("faceless")	 : 1
("hungarian	 : 1
("isps")	 : 1
